experiment_id,slice_type,slice_value,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage3_high_weighted_huber_lstm,fms_bin,5-10,66541,3.879133254400981,4.420185352881729,-11.57123760092912,0.12119514599750425,0.12628110650125907,2.4792567029205386,0.5091034770810504
stage3_high_weighted_huber_lstm,fms_bin,10-15,32361,2.6058899513155267,3.6067765699011103,-6.653570288175388,0.039706458359893636,0.03677633235628998,-1.4577332486810262,0.28460842271320225
stage3_high_weighted_huber_lstm,fms_bin,15-20,24780,6.017235674713291,6.663805924993882,-11.872421069672054,0.16681220513297945,0.14912294117428893,-6.01513715733002,0.44659036555383075
stage3_high_weighted_huber_lstm,missing_slice,complete_dynamic,183231,3.961235155826054,4.875781317803294,0.1461254475960817,0.5009324085359905,0.5167479397681853,1.171694972484377,0.7320786869670117
stage3_high_weighted_huber_lstm,missing_slice,missing_dynamic,8988,5.851915430773297,6.878243732375836,-0.3492621495750974,0.15276455754518783,-0.0029914273129138984,3.314489628216082,0.6024661737453247
stage3_high_multitask_high_fms_lstm,fms_bin,0-5,68537,2.877923446411155,3.6601867326268467,-5.9276620635431,0.3575938045608994,0.3526276061468095,2.662121334341673,1.1428505535634943
stage3_high_multitask_high_fms_lstm,fms_bin,5-10,66541,2.267157669055989,2.700454808898093,-3.6921393371428994,0.11885331973570518,0.1168693726558317,0.21608090639504932,0.38321642946769485
stage3_high_multitask_high_fms_lstm,fms_bin,10-15,32361,4.073332564369245,4.771023107128117,-12.39209851229281,0.04765565663890687,0.051409078372328526,-4.044399944863292,0.467813271593008
stage3_high_multitask_high_fms_lstm,fms_bin,15-20,24780,8.95531759896617,9.278838653146828,-23.95759902087826,0.1315339674293695,0.10303636506970208,-8.95531759896617,0.7234435242538046
stage3_high_multitask_high_fms_lstm,missing_slice,complete_dynamic,183231,3.5799125354694166,4.647013571200438,0.2243719362077624,0.49980658933539795,0.5131678556723569,-0.8314074286554314,0.7186809104171018
stage3_high_multitask_high_fms_lstm,missing_slice,missing_dynamic,8988,5.104818550809309,5.9360998560349,-0.0049480483851818136,0.14203191900297618,-0.0027478256440159688,-0.4029742627871742,0.5794800555387631
stage3_missing_zero_mask_lstm,fms_bin,0-5,68537,2.886239145529491,3.6678194822729253,-5.9565853111920415,0.36177116434551454,0.3583165945043251,2.6659937917001044,1.1458202906499357
stage3_missing_zero_mask_lstm,fms_bin,5-10,66541,2.2850726660242997,2.721023397162128,-3.7638889023271522,0.11788141780287631,0.11587373507431854,0.22922474130314288,0.38638395593513997
stage3_missing_zero_mask_lstm,fms_bin,10-15,32361,4.058775950104752,4.763806898745559,-12.351617849390545,0.044904304731078294,0.04379541522238398,-4.036853084430195,0.46589376977045094
stage3_missing_zero_mask_lstm,fms_bin,15-20,24780,8.959858035418273,9.285725652665946,-23.994661150510495,0.12778738053127672,0.10019779704864347,-8.959858035418273,0.7240018764766546
stage3_missing_zero_mask_lstm,missing_slice,complete_dynamic,183231,3.5877329076172018,4.654187863673487,0.22197518055582588,0.4972279523015138,0.5107544406323024,-0.823859889427703,0.7206527618254084
stage3_missing_zero_mask_lstm,missing_slice,missing_dynamic,8988,5.101539255727064,5.935802732429693,-0.0048474482195624,0.14409043699540552,-0.0017281768536475768,-0.4153486170872721,0.5800054130789154
stage3_missing_ffill_mask_lstm,fms_bin,0-5,68537,2.8797035269982874,3.666658543891067,-5.952182210767326,0.3627786925075982,0.3603636087358854,2.6508554910757534,1.1504141264194963
stage3_missing_ffill_mask_lstm,fms_bin,5-10,66541,2.2821338687425903,2.719735851810782,-3.759381574807347,0.1149171582243246,0.11071310454705578,0.20944271959523747,0.3882123682448551
stage3_missing_ffill_mask_lstm,fms_bin,10-15,32361,4.071102279923721,4.771120789514549,-12.392646900135192,0.05349057596149747,0.05906836558979161,-4.048926789780353,0.4680780679129743
stage3_missing_ffill_mask_lstm,fms_bin,15-20,24780,8.972163852075111,9.296377606412607,-24.052038396362402,0.11834838345513204,0.09210133499519177,-8.972163852075111,0.7248626128787576
stage3_missing_ffill_mask_lstm,missing_slice,complete_dynamic,183231,3.586425847552771,4.655571557485192,0.22151249697326758,0.4977091090637576,0.5102472182529924,-0.8389746723351926,0.723398154091262
stage3_missing_ffill_mask_lstm,missing_slice,missing_dynamic,8988,5.134899538492807,5.970858310060118,-0.01675132254507883,0.1213693539291857,-0.010283480312361842,-0.4465021267699092,0.5828410000403491
stage3_missing_ffill_mask_time_lstm,fms_bin,0-5,68537,2.8991666024201757,3.675317138810283,-5.985055304144633,0.3661807065030689,0.3603805844864923,2.6880925841759846,1.1486120942523481
stage3_missing_ffill_mask_time_lstm,fms_bin,5-10,66541,2.280552815507147,2.716126420843583,-3.746757363444683,0.12016353960876543,0.12064608541785676,0.25663995164093284,0.38430048056912375
stage3_missing_ffill_mask_time_lstm,fms_bin,10-15,32361,4.059347862108562,4.755045998047578,-12.302554299379421,0.04755181358267744,0.0501740937509134,-4.02985945732513,0.4656092148597552
stage3_missing_ffill_mask_time_lstm,fms_bin,15-20,24780,8.939118161232265,9.264264495982042,-23.87925940826596,0.12941238671342234,0.09602908568873796,-8.939118161232265,0.7216479003843074
