experiment_id,fold,n,mae,rmse,r2,pearson_r,spearman_r,bias,smape
stage3_high_multitask_high_fms_lstm,4,38398,3.973668846665115,5.107802783556823,0.16941006388345337,0.5061919323029065,0.5099112665002365,-1.644618479400614,0.7316812714179664
stage3_missing_zero_mask_lstm,0,38454,3.9608867430473667,5.24000226759332,0.1231482961742113,0.4882045279594223,0.4966075218867676,-1.899090536022441,0.688899759569274
stage3_missing_zero_mask_lstm,1,38503,3.816325112291427,4.913625085259651,0.21002568733055327,0.4861150806953862,0.49487398188241577,-0.8642610984307043,0.7102969906889163
stage3_missing_zero_mask_lstm,2,38361,3.3449440387010307,4.250254998611436,0.25174240764541267,0.512800376790264,0.5353339630491684,0.293186359290258,0.7237790572815946
stage3_missing_zero_mask_lstm,3,38503,3.1860068521671345,3.9502275810844067,0.3234703921710842,0.5699151291498594,0.5829116947477333,0.10253120876642226,0.7159163304183025
stage3_missing_zero_mask_lstm,4,38398,3.9845408227715158,5.119746940240756,0.16552099607691217,0.5035117289961534,0.5065597360657584,-1.6558214824962407,0.7315402776535332
stage3_missing_ffill_mask_lstm,0,38454,3.9555233381907535,5.24479952815631,0.12154203288732679,0.488453345715903,0.49389546764669884,-1.9142949358303083,0.6881286756136553
stage3_missing_ffill_mask_lstm,1,38503,3.8283169983956786,4.959428855819849,0.19522909605683292,0.4791358647081429,0.4915597972681929,-1.0027546608291367,0.7124611591529462
stage3_missing_ffill_mask_lstm,2,38361,3.392021132783467,4.25917523337056,0.2485982962501313,0.514835306278105,0.5383891022615603,0.48839272714844245,0.726828830301961
stage3_missing_ffill_mask_lstm,3,38503,3.1536371733370103,3.9486689937669985,0.32400414493791274,0.5701677757246403,0.584626941157785,-0.12204705478363098,0.7200497132616096
stage3_missing_ffill_mask_lstm,4,38398,3.964885486983633,5.079730457655083,0.1785147684817573,0.5050721324613039,0.5094952232987419,-1.550966841750663,0.736715326548835
stage3_missing_ffill_mask_time_lstm,0,38454,3.9288316375605556,5.195568584769442,0.1379561364765538,0.49315830874226724,0.5005232410263735,-1.8151849804611468,0.6841565843143672
stage3_missing_ffill_mask_time_lstm,1,38503,3.818185891870851,4.902670653363326,0.21354409720510847,0.4848031221640026,0.49646222371081744,-0.7946833188192035,0.7034571392022474
stage3_missing_ffill_mask_time_lstm,2,38361,3.390877227280974,4.261167324787869,0.24789524420034192,0.5143721922226624,0.5363022213455522,0.47311178610851035,0.7264094573328171
stage3_missing_ffill_mask_time_lstm,3,38503,3.1631940903485423,3.9390129540869965,0.32730625090592336,0.5724001949155025,0.586597235632945,-0.030979134462265072,0.7148957690565281
stage3_missing_ffill_mask_time_lstm,4,38398,3.9941024002784262,5.1482872519956455,0.1561913656020284,0.5038219518669825,0.5074755816587928,-1.74926261835472,0.7411580718336166
stage4_history_10s_dynamic,0,38454,3.9722973444305953,5.282832936265342,0.10875531278915807,0.4876350112167411,0.4993354418473128,-2.0094032127852124,0.6927396669999722
stage4_history_10s_dynamic,1,38503,3.8303305144698157,4.957890684193386,0.19572821958175868,0.4762074848916745,0.4886237920488124,-0.9530289193469559,0.7115109954854235
stage4_history_10s_dynamic,2,38361,3.3501246108948752,4.25013337629372,0.25178523026221866,0.5136684714823865,0.5362786136927911,0.33263991943928034,0.722197676693832
stage4_history_10s_dynamic,3,38503,3.272242395349658,4.002063394921,0.305598737749492,0.558147916073572,0.5794867630090023,0.3603436285003149,0.7088226895896096
stage4_history_10s_dynamic,4,38398,4.063734883368302,5.266177774080369,0.11710419083574342,0.49354609175885406,0.4952114999027367,-1.9877406009445013,0.7504494898139413
stage4_history_20s_dynamic,0,36898,4.0402375029605855,5.265686169871966,0.0964884955963532,0.4443034338163414,0.45069520710567196,-1.752873763774002,0.6399463153495164
stage4_history_20s_dynamic,1,36947,3.958612647116786,5.129862473474121,0.12684851603647695,0.4247153118215291,0.44270705818121026,-1.2542553702336312,0.6746993687623789
stage4_history_20s_dynamic,2,36785,3.469854137021529,4.331908559640202,0.21421709737018035,0.4764982826059204,0.48885926439630784,0.40594489120085697,0.6772957956647899
stage4_history_20s_dynamic,3,36903,3.2856027717251535,4.020913479371767,0.28776933063090526,0.5376427502250899,0.5487474243424648,0.11433680275638287,0.661729460696578
stage4_history_20s_dynamic,4,36810,4.113370864856376,5.226359118814937,0.11108915756110693,0.45621940109234205,0.46254210047650046,-1.7165462774059366,0.6841348730362774
stage4_history_40s_dynamic,0,33707,4.11941573400359,5.298804618810118,0.07343360639920038,0.3919454722029994,0.39322580465013673,-1.5097512401624722,0.5869546947264669
stage4_history_40s_dynamic,1,33755,4.014756144037813,5.136699935401907,0.11457371716454778,0.3921045068540059,0.3976150345778082,-0.9952605835509607,0.6191836571274526
stage4_history_40s_dynamic,2,33555,3.6327917897493434,4.444091987847437,0.17352460461786545,0.43994968346951746,0.4421933040623698,0.6307386552216381,0.6401394593659921
stage4_history_40s_dynamic,3,33636,3.4698700673912746,4.198698886075666,0.21264881519691559,0.47890194809709596,0.48547593009599044,0.4811547687552973,0.6185875132114559
stage4_history_40s_dynamic,4,33562,4.142427527224674,5.213595659873428,0.09726316983914085,0.4287429030695843,0.42727086202714953,-1.6141242178437907,0.6329971908566752
stage4_history_60s_dynamic,0,30567,4.235501204551906,5.506228131328432,0.00644374051071861,0.37691358393519947,0.37950460947564296,-2.025755618331235,0.577686025646636
stage4_history_60s_dynamic,1,30611,4.219218214748849,5.29329157378298,0.06314087390571332,0.3254503080855261,0.3186720624601815,-0.633844536500639,0.6028518272032507
stage4_history_60s_dynamic,2,30375,3.6807796700717,4.548624509650011,0.14649168685327785,0.3976138374084806,0.3957940121488668,0.3907225056557989,0.613981716255813
stage4_history_60s_dynamic,3,30409,3.5291346854320573,4.240081981951535,0.19899523691586551,0.47372333130324085,0.4706015460722288,0.7332544051897969,0.58365971335568
stage4_history_60s_dynamic,4,30363,4.28993373209594,5.391233540613803,0.03463872993037154,0.3865599455405075,0.37646927305973477,-1.859051765678028,0.6235828778418024
stage4_history_120s_dynamic,0,20542,4.573966613595575,5.673886365465519,-0.07197021719707575,0.16474565206554287,0.16316532158050423,-1.6438532954366794,0.5348360935827463
stage4_history_120s_dynamic,1,20747,4.446541778977052,5.706814468415087,-0.11365213675976471,0.08230465234870463,0.09146090744433286,-1.548006557398959,0.5270589562471949
stage4_history_120s_dynamic,2,20249,4.08926549066855,4.860113746109715,0.03581468846382263,0.20307010274483817,0.1567820838093112,0.36120200869513003,0.5604271178592181
stage4_history_120s_dynamic,3,20209,3.718244478947818,4.47264581819129,0.04472744708360221,0.22062698786670193,0.19187774360988866,0.08885057542683776,0.48114368349041015
stage4_history_120s_dynamic,4,20214,4.6277298202993045,5.716841312921932,-0.1437186113742117,0.12092136663521827,0.10526543747523277,-2.1187596381377003,0.5523865715640133
stage4_dose_local_sequence,0,38454,3.9722973444305953,5.282832936265342,0.10875531278915807,0.4876350112167411,0.4993354418473128,-2.0094032127852124,0.6927396669999722
stage4_dose_local_sequence,1,38503,3.8303305144698157,4.957890684193386,0.19572821958175868,0.4762074848916745,0.4886237920488124,-0.9530289193469559,0.7115109954854235
stage4_dose_local_sequence,2,38361,3.3501246108948752,4.25013337629372,0.25178523026221866,0.5136684714823865,0.5362786136927911,0.33263991943928034,0.722197676693832
stage4_dose_local_sequence,3,38503,3.272242395349658,4.002063394921,0.305598737749492,0.558147916073572,0.5794867630090023,0.3603436285003149,0.7088226895896096
stage4_dose_local_sequence,4,38398,4.063734883368302,5.266177774080369,0.11710419083574342,0.49354609175885406,0.4952114999027367,-1.9877406009445013,0.7504494898139413
stage4_dose_cumulative_dose,0,38454,4.09085528764498,5.372896882725941,0.07810764906915446,0.46027151264402516,0.4666990823031126,-2.037612876951859,0.712786310168011
stage4_dose_cumulative_dose,1,38503,3.8842043665880674,4.997574292538155,0.18280169903801724,0.4663988420143094,0.48645054521330927,-0.9955266981460124,0.7176448608529736
stage4_dose_cumulative_dose,2,38361,3.455148542332253,4.32826459542123,0.2240231535572207,0.49595843175326637,0.5269737097005806,0.5761194942343152,0.716907363594193
