duration_seconds,fold,model,metric_slice,window_count,window_mae,window_rmse,window_r2,session_macro_mae,session_macro_rmse,raw_pa_id_group_macro_mae,raw_pa_id_group_macro_rmse,train_time_seconds,inference_latency_ms_per_window,parameter_count
30.0,0,ridge_window_stats,fms_bin_0-5,11587,4.316397147509119,4.957599023285786,-12.535853080637617,,,,,,,
30.0,0,ridge_window_stats,fms_bin_10-15,6672,3.1662248960638806,3.9881422962240864,-8.23038323457215,,,,,,,
30.0,0,ridge_window_stats,fms_bin_15-20,3981,7.536958162886945,7.912216131086513,-21.55936831790198,,,,,,,
30.0,0,ridge_window_stats,fms_bin_5-10,13106,2.432666678825835,2.919509266344295,-4.572116415730608,,,,,,,
30.0,0,ridge_window_stats,complete_dynamic,32876,3.6227171891647556,4.460349164902079,0.14673621765260447,,,,,,,
30.0,0,ridge_window_stats,missing_dynamic,2470,5.637998333154625,6.291722270365286,-0.0836574440499327,,,,,,,
30.0,0,causal_tcn_linear,,35346,3.7620997641416896,4.610962525556113,0.12424505808288222,3.764887334572213,4.2236853303042725,4.7741250631088645,5.411195204616687,119.55215905606747,0.005238218524827958,97
30.0,0,causal_tcn_linear,fms_bin_0-5,11587,4.313402459925737,4.954612564066962,-12.519549988261643,,,,,,,
30.0,0,causal_tcn_linear,fms_bin_10-15,6672,3.1639467007246367,3.9900952803633842,-8.239425643070563,,,,,,,
30.0,0,causal_tcn_linear,fms_bin_15-20,3981,7.5327326240006744,7.90890678690604,-21.540501011914895,,,,,,,
30.0,0,causal_tcn_linear,fms_bin_5-10,13106,2.433856477705762,2.9208474198142453,-4.577225531708664,,,,,,,
30.0,0,causal_tcn_linear,complete_dynamic,32876,3.6215533495546883,4.4598718438261935,0.14691883070782352,,,,,,,
30.0,0,causal_tcn_linear,missing_dynamic,2470,5.632789612709406,6.2851208226580635,-0.08138463075372471,,,,,,,
30.0,1,mean_fms,,35380,4.702037368521201,5.84977793137808,-0.03238761151649516,4.741873211199091,5.413077078639651,5.200473301841568,5.897801272443071,0.0021034032106399536,3.97428878624605e-05,1
30.0,1,mean_fms,fms_bin_0-5,10128,5.377211298602767,5.5569411308686325,-14.71326008558673,,,,,,,
30.0,1,mean_fms,fms_bin_10-15,6377,4.1502547461869,4.347549982955072,-10.273683023844328,,,,,,,
30.0,1,mean_fms,fms_bin_15-20,7006,10.20463930090542,10.37543792453958,-29.625381404356727,,,,,,,
30.0,1,mean_fms,fms_bin_5-10,11869,1.1743035308327967,1.398843288309382,-0.20454810871113915,,,,,,,
30.0,1,mean_fms,complete_dynamic,32491,4.5278575265372885,5.650527644764047,-0.016869439045444246,,,,,,,
30.0,1,mean_fms,missing_dynamic,2889,6.660942611130278,7.7453510415176945,-0.5108056566381438,,,,,,,
